"날짜","종목코드","종목명","급등 사유","등락"
"2013-01-02","","","경제민주화 수혜 기대감",""
"2013-01-02","","","SK와 CJ그룹이 동사의 인수전에 참여했다는 소식",""
"2013-01-02","","","복지예산 증액 및 0~5세 전면 무상보육실시 소식에 출산장려정책 관련주 상승",""
"2013-01-02","","","복지예산 증액 및 0~5세 전면 무상보육실시 소식에 출산장려정책 관련주 상승",""
"2013-01-02","","","720만주(36억원) 규모 유상증자 결정",""
"2013-01-02","","","모기업 티쓰리엔터테인먼트와의 합병설",""
"2013-01-02","","","신화인터텍 매각에 따른 유동성 확보 소식",""
"2013-01-02","","","삼성전자 前 부회장의 경영참여 소식",""
"2013-01-02","","","게임 “아키에이지” 공개서비스 소식에 결제 서비스 제휴업체인 동사의 주가가 상한가를 기록",""
"2013-01-03","","","SK와 CJ그룹이 동사의 인수전에 참여했다는 소식",""
"2013-01-03","","","720만주(36억원) 규모 유상증자 결정",""
"2013-01-03","","","신화인터텍 매각에 따른 유동성 확보 모멘텀 지속 및 폴리실리콘 가격 상승에 태양광에너지 관련주 상승",""
"2013-01-03","","","코웨이 매각에 따른 재무구조 개선 및 지배구조 리스크 해소로 웅진그룹주 급등",""
"2013-01-03","","","폴리실리콘 가격 상승에 태양광에너지 관련주 상승",""
"2013-01-03","","","NI(네트워크통합) 관련주 상승",""
"2013-01-03","","","코웨이 매각에 따른 재무구조 개선 및 지배구조 리스크 해소로 웅진그룹주 급등",""
"2013-01-03","","","NI(네트워크통합) 관련주 상승",""
"2013-01-03","","","카카오와 스포츠 매니지먼트 게임 “위드볼” 서비스 계약 체결 소식",""
"2013-01-03","","","100% 무상증자 결정",""
"2013-01-04","","","100% 무상증자 결정",""
"2013-01-04","","","연기금의 오버행 물량 일단락 및 실적개선 기대감",""
"2013-01-04","","","고성장 전망 모멘텀 지속",""
"2013-01-04","","","플렉시블 배터리 개발 소식",""
"2013-01-04","","","최대주주 대상 유상증자 결정",""
"2013-01-04","","","SG그룹주 급등",""
"2013-01-04","","","SG그룹주 급등",""
"2013-01-07","","","재무구조 개선 기대감",""
"2013-01-07","","","새 정부 기초과학 정책으로 인한 투자 수혜 기대감",""
"2013-01-07","","","새 정부개혁 공약인 “정부 3.0(클라우드 시스템을 이용해 각 부처가 보유한 정보를 공유하는 것)” 정책 수혜 기대감",""
"2013-01-08","","","재무구조 개선 기대감",""
"2013-01-08","","","美 대법원의 줄기세포 연구 허용 소식에 줄기세포관련주 동반 상승",""
"2013-01-08","","","프랑스 업체와 국내 합작회사 설립 약정 체결",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-08","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사관련주 동반 급등",""
"2013-01-09","","","재무구조 개선 기대감",""
"2013-01-09","","","박근혜 당선인의 창업기획사 설립 추진 소식에 창투사 관련주 급등",""
"2013-01-09","","","IT서비스사업부 매각설",""
"2013-01-09","","","“CES2013” 참가 모멘텀 부각",""
"2013-01-10","","","재무구조 개선 기대감",""
"2013-01-10","","","IT서비스사업부 매각 추진 소식",""
"2013-01-10","","","경제민주화 수혜 기대감",""
"2013-01-10","","","거래재개 첫날 상한가",""
"2013-01-10","","","최대주주의 1조 투자 소식",""
"2013-01-10","","","화장품 생산/개발/판매 관련주 상승",""
"2013-01-10","","","주당 1주의 무상증자 결정",""
"2013-01-10","","","거래재개 첫날 상한가",""
"2013-01-11","","","주당 1주의 무상증자 결정",""
"2013-01-11","","","거래재개 후 이틀째 상한가",""
"2013-01-11","","","리비아 주택사업 재개 소식",""
"2013-01-11","","","美 독감 유행 소식에 관련주 부각되며 상한가",""
"2013-01-11","","","마스크 관련주 상승",""
"2013-01-11","","","美 독감 유행 소식에 관련주 부각되며 상한가",""
"2013-01-11","","","최대주주의 지분매각 검토 소식",""
"2013-01-11","","","삼성전자의 플렉서블 디스플레이 발표에 관련주로 부각되며 상한가",""
"2013-01-11","","","회생절차 개시 결정",""
"2013-01-11","","","삼성전자의 플렉서블 디스플레이 발표에 관련주로 부각되며 상한가",""
"2013-01-14","","","거래재개 후 사흘째 상한가",""
