"종목코드","종목명","가격","등락","상한가일수","사유","날짜"
"224060","코디엠",10300.0,29.89,2.0,"신규 상장 첫날 급락 이후 이틀째 상한가","2016-01-04"
"109610","에스와이패널",8670.0,29.99,1.0,"신규 상장 후 급등세가 지속되며 상한가","2016-01-04"
"025620","신우",1055.0,29.93,1.0,"최대주주 변경에 상한가","2016-01-04"
"043580","에임하이",9000.0,23.8,"","최대주주 변경 모멘텀이 지속되며 급등","2016-01-04"
"056000","코원",6710.0,20.9,"","박남규 대표가 中 기업에 의결권을 위임했다는 소식에 급등","2016-01-04"
"217730","강스템바이오텍",12400.0,13.76,"","줄기세포 치료에 대한 관심이 지속되며 급등","2016-01-04"
"224060","코디엠",13350.0,29.61,3.0,"신규 상장 첫날 급락 이후 사흘째 상한가","2016-01-05"
"048870","코아로직",3695.0,29.88,1.0,"M&A 기대감에 상한가","2016-01-05"
"069620","대웅제약",83500.0,20.32,"","항생제 '대웅메로페넴주' 美 FDA 승인 소식에 급등","2016-01-05"
"109610","에스와이패널",10150.0,17.07,"","신규 상장 후 연일 급등","2016-01-05"
"185750","종근당",114000.0,15.5,"","증권사 호평 및 日 제약사와 빈혈약 바이오시멀러 기술 수출 계약 체결로 급등","2016-01-05"
"224060","코디엠",17350.0,29.96,4.0,"신규 상장 첫날 급락 이후 나흘째 상한가","2016-01-06"
"019490","하이트론",7670.0,30.0,1.0,"안철수 관련주로 부각되며 상한가","2016-01-06"
"003060","슈넬생명과학",4110.0,29.86,1.0,"에이프로젠 상장 소식에 상한가","2016-01-06"
"222980","한국맥널티",18700.0,29.86,1.0,"신제품 대형마트 유통 소식 및 원두커피 시장 성장 기대감에 상한가","2016-01-06"
"185750","종근당",148000.0,29.82,1.0,"증권사 호평 및 日 제약사와 빈혈약 바이오시밀러 기술 수출 계약 체결 모멘텀 지속에 상한가","2016-01-06"
"065450","빅텍",2560.0,25.8,"","北 수소탄 실험 소식에 일부 방위산업/전쟁 및 테러 관련주 상승 속 급등","2016-01-06"
"001630","종근당홀딩스",136000.0,18.78,"","종근당의 빈혈약 바이오시밀러 기술 수출 계약 체결 모멘텀이 지속되며 종근당그룹주 급등","2016-01-06"
"013810","스페코",5270.0,16.46,"","北 수소탄 실험 소식에 일부 방위산업/전쟁 및 테러 관련주 상승 속 급등","2016-01-06"
"223310","이에스브이",17650.0,16.12,"","스마트카 시장 성장에 따른 수혜 전망에 급등","2016-01-06"
"006280","녹십자",223500.0,14.91,"","글로벌 제약/바이오 그룹으로 성장 전망에 녹십자그룹주 강세 속 급등","2016-01-06"
"214390","경보제약",16300.0,14.79,"","종근당의 빈혈약 바이오시밀러 기술 수출 계약 체결 모멘텀이 지속되며 종근당그룹주 급등","2016-01-06"
